"COMPETITOR NAMES, as at 6:19AM on Sunday 7th"
DAY 1: Friday 6th March 2026
Race,Time,Event #,Event Type,Round,Division,Names
11 (K),08:43,3,B U15 2X,heat,3,"Joe Wall, Charles Hankinson, Jake Findlay, James Dedding, Liam Benniman, Toby Lincoln, Levi Dowty, Boe Leach, Freddie Hopkins, Daniel Peterson, Willem Mabey, Miles Fayerberg, Sol Barshai-Sherrock, Kade Calland"
12 (L),08:48,4,G U15 4X+,heat,1,"Alexandra McKeown, Carys Phillips, Zara Delahunty, Hannah Monasands, Mia Geenty, Olive Moser, Hana Harvie, Georgia James, Charlotte Turton, Chiara Masey, Kaitlynn du Plooy, Yanke Oosthuizen, Marlize van Rooyen, Rachel Stapp, Jennifer du Plooy, Amelia Irwin, Stella O'Sullivan, Lucca Taylor, Emma Smith, Sasha Stephens, Indi Ross, Ellie Tucker, Ella-Rose Conder, Mila Williams, Sam Gardiner, Maggie Elmiger, Lauren Lamb, Octavia Burns, Niamh Watson, Charlotte Murray, Katie Freeman, Eleanor Bate, Kate Mitchell, Melissa Muller, Cole Rothery, Rosa Ranchhod, Zoe Ching, Zoe Heatley, Madison Hoon, Rose Carter, Matisse Allington, Isla Blair, Penny Hollister, Mikayla Cantley, Ruby Mahon"
13 (M),08:53,4,G U15 4X+,heat,2,"Bella Biggs, Willow Varcoe, Susie Moorhead, Katerina Carney, Molly Young, Madeline Hilder, Issy Taylor, Jess Woodhams, Olivia Oram, Lucy Camp, Katie Conroy, Lucie Klein, Lola Verran, Ava Probst, Alek Rigby, Elsa Taylor, Farrah Palmer, Rosa Hawkins, Zoe McKenzie, Ava Fredericks, Kate Henry, Jemma Burke, Olivia Burke, Emilia Hickey, Jade Noonan, Mila Jenks, Alexia Hankey, Isla Thompson, Arabella Douglas, Micayla Lin, Mary Dawson, Audrey Cao, Sophie Rogers, Isla Dawson, Lauren van De Kuilen, Ellemae Bennett, Stella Hapuku, Amelia McLaughlin, Toyah Macdonald, Trelise Garvin, Olivia Keen, Harriet Cox, Mia Kapernick, Esme Thompson, Matilda Pinner"
14 (N),08:58,4,G U15 4X+,heat,3,"Franchi Taylor, Macy Waterhouse, Honor Hood, Pippa Goodin, Eliana Fayerberg, Savannah Bull, Catherine Butt, Ruby Paine, Addison Lundy, Olive Mills, Taylor Boyd, Greer Dallinger, Honor Bourke, Georgia Faville, Megan Finn, Sadie Frank, Colbie Stott, Ashlyn Kelly, Jessica Teague, Holly Savage, Samantha Peacocke, Sienna Anderson, Sarbia Gardner, Olive Hunter, Stella Benton, Avie Stuart, Aurelia Smith, Zoe Mallett, Daisy Brinsden, Liberty Flower, Meika Pritchard, Asta Norman, Annabel Ramsden, Irene Zhang, George Belton, Ella Reader, Bella Richardson, Chloe Bryce-Borthwick, Arai Gardiner, Jessica Allen"
15 (O),09:03,4,G U15 4X+,heat,4,"Kulsum Tayyab, Ara Innis, Sophie Cardno, Tannah Smart, Eva Millar, Parker Taare, Isabella Russo, Freida Hoban, Jade Hood, Savanah Hall, Zara Sudfeldt, Sophia Hodgson, Charlee Wilson, Raine Duncan, Bobbie Wilson, Sophia Kerwin, Myiah Dudson, Rylee Earles, Lilee Lambe, Awatea Tutaki, Mackenzie Wagon, Tassi Grenfell, Chloe Moseley, Elsi Carryer, Hannah Skelton, Nahana Crabb, Harriet Dreyer, Grace Sherrit, Ottilie Seligman, Daisy Whisker, Jodi Potter, Aleeyah Ngawaka, Neeva Drury, Bella Leatherland, Ellie Villars, Lucinda Howard, Florence Gillespie, Pippa Winchester, Janie McGregor, Vida Carney-McKnight"
16 (P),09:08,4,G U15 4X+,heat,5,"Margaux Orum, Hanna Umemoto, Sabia Hurley, Rui Tong Yang, Hayley Odering, Portia Finnigan, Ana Radu-Garrett, Zoe Malo, Claudia Jacob, Alice Davy, Isla Barrett, Grace Cagney Potts, Florence Beauchamp, Amelia Moy, Beatrix Day, Mabel Eilering, Hayley Twaddle, Billie McAsey, Jessica Taylor, Tiana Young, Grace Li, Olivia Liu, Maia Gentil, Amber Man, Edie Joll, Lauren McConnochie, Molly Wilkinson, Katryn Nel, Amelia Carter, Sophie Edhouse, Charlotte Carter, Felicity Joblin-Mills, Harper Houlahan, Abigail Glasgow, Lyric Cooper"
17 (Q),09:12,5,B U18 2-,heat,1,"Tom Ward, Ollie Wiig, Kaine Goonan, Sam Harford, Ben Worrall, Alexander Worth, Donovan Pivac, Samuel Bird, Cooper Watt, Sam Overdevest, Bennett Mareroa, Cooper McLean, Archie McConchie, Denny Janif-Skelton"
18 (R),09:16,5,B U18 2-,heat,2,"Reuben Pope, Riley Russell, Nathan Moore, Kenai Toni, Josh Haskell, Charlie Field, Joshua Thorp, Maxim Lisnichenko, James Neilson, Anthony Jacobsen, Hamish Brown, Lewis Parker"
19 (S),09:20,6,G U18 2X,heat,1,"Charlie Wright, Emily Riley, Tilly Wilde, Rosa Griffiths, Xanthe Jensen, Una Nieuwoudt, Arielle Smith, Corbin Radford, Zara Blackie, Emily Young, Katie Chamberlain, Alexis Moody, Emily Swain, Grace McKenna, Peyton Brown, Sarah Hansen"
20 (T),09:24,6,G U18 2X,heat,2,"Jordan Vosper, Faye Yao, Anabelle Sudfeldt, Nadia Turner, Yalini Velmurugan, Olivia Long, Keana MacCallum, Annabel Jones, Olivia Carruthers, Sophia Mason, Amy Akehurst, Ella Rogers, Phoebe Wall, Mia Barr, Nina Sinclair, Olivia Gough"
21 (U),09:28,6,G U18 2X,heat,3,"Caitlin Horne, Rosie Jones-Rawstorne, Charlotte Eickhoff, Paula Lecic Bonnichsen, Lucy Cottier, Aimee Stewart, Zara Magasiva, Alma Steinfeld, Clare Ruston, Mya Carrington, Alba Erikson, Genevieve Fail, Lucy Cameron, Alara Thomson"
22 (V),09:32,6,G U18 2X,heat,4,"Emma Davidson, Lily Hannah Petrich, Francie O'Sullivan, Cassie Colbourne, Millie Bonifant, Grace Kenny, Marin Sapir, Lily Gundesen, Ayla Klein, Mirella Singleton, Aria Wallwork, Georgia Neilson, Merryn Gibson, Adah Williams, Emma Lutter, Eloise Meijer"
23 (W),09:36,6,G U18 2X,heat,5,"Becky Roy, Lily Camp, Harriet Wilson, Rielly Reeve, Beatrix Baird-Smith, Anastasia Graham, Tayler Gibbs, Paige Tevita-Williams, Tana Godfrey, Lola Eilering, Aurora Rogers-Scott, Holly Thompson, Lyric Pikia, Halena Haggie"
24 (X),09:40,6,G U18 2X,heat,6,"Milla Best, Kayla Billings, Gabriella Saunders, Sylvie Lucas, Ivy Lundon, Jemma Lorch-Church, Sophie Sayer, Keeley Bannister, Olivia James, Ellie Dobson, Farrah Grice-Douglas, Isabel Peacocke, Yasmine Wilcox, Maiara Moimoi"
25 (Y),09:44,7,B U16 4X+,heat,1,"Reilley Peneche, Rishi Jamnadas, Vinnie Tinholt, George Flatt, Lachlan Norris, Ben Webster, Franklin Marshall, Luke Rowberry, Cohen Taaffe, Miller Stratford, Van Healy, Toby Dixon, Ben Fredericksen, Levi Swanepoel, Angus Wilson, Tommy Peters, William Jorgensen, Ethan Clausen, James Heap, Jake Wickham, Caleb Goad, Halan Rhynd, Lucas Zhang, Beau Dowling, Matthew Self, Quinn Bradley, Josiah Fuiava, Joel Sidoruk, Rafael Cian Da Silva, Monty Simpkins, Alexandre Abenoja, Mason Garvie, Xander Breslin, Charlie O'Rourke, Samuel Correa"
26 (Z),09:48,7,B U16 4X+,heat,2,"Campbell Thorne, Joaquin Tulimanu, Benedict Clark, Koni Taukolo, Dhruv Natalia, Isaac Hallam, Ezra Faulkner, Nat Dingle, Max Taylor, Oscar Mckenzie, Devon Allott, Ezra Faulkner, Nat Dingle, Max Taylor, Oscar Mckenzie, Henry Vincent, Conrad House, Harry Steel, Harley Evans, Ryder Greaves, Kupa Gardner, Charlie Devane, Anthony Jones, Harry Sherrit, Willem Gilbertson-Small, Frederick Dryden, Oscar Eriksen, Hamish Edmonds, Taylor Kijowski, Rex Zhao, Charles Duncan, Lachlan McLellan, Kaydin Shutes, Henry Gibson, Walter Briggs, Jacob Willson, Lucas Jones, Will Mahon, James Schorfield, Hugo Hurdley"
27 (A),09:52,7,B U16 4X+,heat,3,"Hugo Colgan, Lachlan McFarlane, Valentine Croon, Tommy Schluter, Sammie Richardson, Maxwell Yu, Arvin Rafiee, Caleb Jaensch, Daniel Walkinshaw, Harry Wilcox, Harry Good, Luke McGowan, Caleb Vincent, Cooper Emerson, Johnny Gilmore, Lucas Toemen, Patrick McGhie, Harvey Greenstreet, Noah Stoddard, Hugo Friis, Dylan Brangwynne, James Jordan, Kale Ganley, Ashton Russell, Charlie Seath, Oliver McManus, Nixon Vaughan, Sam Chapman, Rafe France, Lochlin Higginson, Ned Thursby, James Small, Henry Valsenti, Torsten Jones, William Familton"
28 (B),09:56,7,B U16 4X+,heat,4,"Alex Lamb, Rory Carson, Porter Barkle, Ben Roberton, Alexander Galbraith, Jack Morris, Jack Pitkin, Daniel Wu, Olaf Hanson, Bailey Wong, Jack Simeon, Max Erueti-Charters, Tommy Landells, Patrick Innes, Joseph Lindsay, Toby Wheeler, Blake Kelly, Liam Martin, Blair Paterson, Rueben de La Rosa, Elvern Wong, Oscar Wybourne, Richard Storey, Samuel Wilson, Harry Lorentsson, Hohepa Henry, Nicholas Bates, Luka Fife, Mackenzie Finlay-Brazell, Jayden Wooller, Maximillian Kelly, Raff Colucci, Taimana Lloyd, James Briant, Max Hindmarsh"
29 (C),10:00,8,G U16 1X,heat,1,"Katelin MacKay, Samara Garrod, Alexia Mackay, Georgina Wilson, Lusia Smith, Danielle de Villiers, Sienna Kilburn, Nova Taylor, Anita Goonan"
30 (D),10:04,8,G U16 1X,heat,2,"Anna Moore, Gabriella Maling, Quinn Robinson, Emily Greening, Georgia Opie, Nieve Sami, Zara Daw, Mia Macartney, Dulcie-Jean Paikea"
31 (E),10:08,8,G U16 1X,heat,3,"Annabel Shaw, Pippa Percy, Charlie Twigg, Imogen Munns, Lily McAree, Pippa Forman, Ashlee Walden, Zara Travers, Cerys Brett-Chinnery"
32 (F),10:12,8,G U16 1X,heat,4,"Elandra Shewan, Emma Du, Dasha King, Ciana Cooper, Camryn Collinson, Lily Cameron, Alice Varey, Elissa Strohmeier, Lenay Kleinhans"
33 (G),10:17,9,B N18 2X,heat,1,"Jake Buxton, Salvador Mazzieri, Cayden Elvin, Harry Kain, Cody Waters, Jayd Ellapen, Oscar Keller, Grady O'Sullivan, Lachlan Mead, Pearce Tong, Joe van Dam, Billy Christensen, Oliver Hookway, Thomas Costar, Luke Davidson, Charles Ye, Henco Mellett, Harli Nicholas"
34 (H),10:22,9,B N18 2X,heat,2,"Roman McDonald, Vincent Gatt, Max Hema, Brayden Scott, Cruz Reid, Aubrey Bircham, Frankie Neal, Vaughn Stanton, Jonty Putwain, Kirwan Penny, Callum Morgan, Milo Weber, Sam Stewart, Jackson Crawford, Balazs Bendeguz Perfalvi, Jacob Aveyard, Connor O'Neill, Gus Myhre"
35 (I),10:27,9,B N18 2X,heat,3,"Joey Haywood, Zachary Dorn, Mason Lash, James Farrant, Jacob Marsden, Alaric Bulling, Rhys Griffiths, Tommy Ackerley, Mate Toshach, Lee Hewson, Augustine Hayes, Luca Sorsa, Edward Stoddard, Tom Crowley, Charlie Sullivan, Jack Beach"
36 (J),10:32,9,B N18 2X,heat,4,"Levi Campbell, Thomas Bennett, Venusha Madawalage, Lev Tereshchenko, Tomislav Marinkovich, Luke Gardner, Wiremu Ruru, Tom Mogg, Zac Fitness, Ben Russell, Damon Birkett, Albert Oldershaw, Henry Rushbrooke, Hunter O'Brien, Daniel Wettasinghe, Ephram Tito"
37 (K),10:37,10,G N18 8+,heat,1,"Annelise Barfoot, Madeline Thomas, Juliet Wicks, Freya Wells, Lena Xie, Alexis Cameron, Calliope Levett-McSkimming, Piper Towns, Sophie Simpson, Molly Smith, Danielle Bull, Gianna Alesich Sandford, Beth Obrien, Meadhbh O'Farrell, Bernardita Hoyo Gibson, Isabella Gobbie, Keira Cocks, Lily Saxon, Tegan Smith, Olivia Shailer, Sothea Steed, Indigo Coley, Amelia Crouch, Madeline Moore, Casey Paki, Jade Paki, Holly Gera, Amber O'Neill, Harriet Dodson, Annabelle Pickles, Olivia Skelton, Katie Ye, Malaika Chand, Emili Perich, Lucja Gascoigne-Spittle, Zoe Fry, Zara Benton, Jess Woodhams, Tess Ritchie, Alice Wilson, Issy Taylor, Livvy Crosby, Rosie Reynolds, Emily Morrison, Rose Carter, Amelia Schnuriger, Fern Kersel-Stubbs, Arna Kovaleski, Madelyn Darke, Elsa Nelis, Kate Rickman, Lizzie Hart, Lucinda Usher, Kiri Ormsby"
38 (L),10:42,10,G N18 8+,heat,2,"Maya Kaitiaki, Savannah Muggeridge, Abigail Xin, Mia Riordean, Qiyu Zhang, Jemima Wright, Isabella Snell, Nandhini Sirestarajah, Joni Klokie, Stella Hapuku, Aiveen Burrough, Charlotte Hoy, Juliet Bertram, Ava Hammonds, Ruby Wrathall, Natasha Beuzeval, Zoe Thomas, Isla Pepper, Olivia Oram, Rosy Moody, Bianca Bartle, Imogen Burgess, Niamh Loveridge, Samantha Peacocke, Elsie Sharpe, Blanca Ebbett, Sara Thomson, Briar Jacobson, Zara Greig-McKay, Isla McGhie, Charlotte Vincent, Evie Doell, Isabel Mahon, Neve Dunphy, Melody Ding, Linaya Karunatillake, Sian Pardoe, Liv Pardoe, Ella Raath, Holly Nilsson, Millie Martin, Hayley Sherwin, Emily Barclay, Holly Calcinai, Meg Cannon, Eliza Wilkinson, Georga Holmes, Alexandra Emery, Aurelia Smith, Vivienne Kronfeld-Tobin, Avie Stuart, Maya Denton, Saffron Spiller, Liberty Flower"
39 (M),10:46,11,B U17 8+,heat,1,"Sebastian Wallace, Liam Dowling, Andrew Findlay, Hugo Jancys, James Montgomerie, Jack Dickie, Zachary Hood, Samuel Murray, Harish Dulipkumar, Cooper McLean, Bennett Mareroa, Gaebriel Gamble, Jayden Calland, Hudson Rillstone, Will Clapcott, Nathan Carter, Nicholas Bourne, Tory Arnold, James Walsh, Jack Liggins, Timothy Walker, Henry Maberly, Xinhao Zhang, Ritchie Mabey, James Riley, Lewis Cameron, Daniel Taylor, Elijah Rudsits, Thomas Malone, Orlando Barden Webb, Torin Bidois-Treacy, Matias Donnianni, Tom Tracy, Piet Dainty, Paddy Russell, Corbin Luke, Aiden Pool, Thomas Malone, Orlando Barden Webb, Torin Bidois-Treacy, Matias Donnianni, Tom Tracy, Piet Dainty, Paddy Russell, Corbin Luke, Henry Warren, Thomas Hulbert, Tyler Warren, Lachlan Wong, Finn Thompson, Conor Irwin, Jack Reid, Jake Peacocke, Charles Lewis, Sebastian Bardsley, Tane Brace, Emmanuel Fesili, Harlan Gruebner, Andrew Lucas, Baylin Jeffery, Cameron Beck, Buster Waters, Otis Packer, Leo Sargent, Seth Travers, Oliver Dedding, Oscar Lowe, Monty Neubert, Freddie Simons, Zach Peebles, Benjamin Rickard, Harry Gardner"
40 (N),10:50,12,G U17 4X+,heat,1,"Honor Hood, Ella Taylor, Holly Hodgson, Macy Waterhouse, Eliana Fayerberg, Tiana Young, Molly Dennis, Ruby Stonex, Jordyn Curran, Sophie Paton, Isabella Ware, Annabel Smith, Hannah Gordon, Mia McKendry, Isabel Gilbert, Alexandra Mason, Beth Dingle, Hazel Church, Polly Hunter, Mia Haimona-Kay, Stella Bradley, Milla McKendry, Chloe Franklin, Skye Grice-Douglas, Ollie Moy, Ava Overton, Milly Vivian, Myiah Dudson, Lily Camp, Hayley Bartlett"
41 (O),10:54,12,G U17 4X+,heat,2,"Alexia Mackay, Ruby Jefferson, Tillie King, Bonnie Mason, Mya Carrington, Katie Conroy, Alek Rigby, Ava Probst, Phoebe Hawkes, Hannah Skelton, Caralie Hanna, Bailey Barnett, Ruby Bullock, Addison Jenkins, Morgan Wood, Madeleine Worrall, Sofia Glass, Emily Keene, Margot Wilson, Rose Finlayson, Mackenzi Goff, Sofia Gough, Olivia Appleton, Sabine Gargan, Jai Sharma, Georgie Gee, Sophia Amey, Emily Pengelly, Tallulah Kubaisi-Gallagher, Molly Napier, Janine Lou, Lucy Gray, Charlotte Thomson, Isabella Connor, Sofia Borrero-Gonzalez, Matilda Burdekin, Amelia Barry, Katie Jones, Amy Ison, Lauren Hunt"
42 (P),10:58,12,G U17 4X+,heat,3,"Lila Russell, Rebecca Young, Piper Reddish, Alison Li, Freida Coote, Arnya McMahon, Amelia Stokes, Cassidy Taylor, Tori Wraight, Lihane Brink, Imaan Rajan, Pippa Muir, Amalie Olson, Beatrix Blackburn, Emma Owen, Charlotte Alexander, Lola Storey, Ruhi Powdrell, Maddie Wellington, Selma Smith, Kaitlyn Ross, Miah Porima, Amber Alcock, Mirella Singleton, Sam Gardiner, Harriet Wilson, Harper Adams, Olive MacDonald, Isla McDonald, Carmela Arreseigor, Natalyah Atoaga, Sacha Worthington, Luanye Blignaut, Yalini Velmurugan, Rhys Henwood, Skye Pinto, Lyla Desmond, Eva Carlaw, Emma Lutter, Yasmin Burgess"
43 (Q),11:02,12,G U17 4X+,heat,4,"Arabella Douglas, Coco Butler, Zoe Plowman, Danielle Dryden, Sasha Stephens, Millie Skilton, Jenna Robinson, Megan Chen, Ruby Barker, Edie Joll, Portia Pahl, Grace Fraser, Ruby Parton, Emily Mogg, Atawhai Mills, Stella Harrop, Taylor Ewen, Pippa Peacocke, Cate Kuggeleijn, Carys Brown, Taylor Batchelor, Teana Rangihika, Tayler Gibbs, Lily Hammond, Quinn Farrell, Sophie Cranstone, Grace Henley, Emma Bullock, Isabelle Walker, Alex Pedley, Naomi Lukic, Zara Cameron, Kayla Peters, Tiffany Robinson, Owain Brett-Chinnery, Sophie Loveridge, Phoebe Banks, Charlotte Carter, Jessica Kuehne, Xanu van der Bank"
44 (R),11:07,13,B U15 8X+,heat,1,"Eli Falconer, Rui Tong Yang, Harvey Morrah, Sam Liddle, Jonty Rowland, Will White, Arthur McCarthy, Henry Wallingford, Thomas Crawford, Isaac Rudsits, Monty Caesar, Stirling Maclean, Lucas Daly, Lachie Barbour, Daniel Clark, Flynn Ferguson, Jack Hardy, Henry Meehan, Tom Squires, Samuel Lin, Gennaro Kalaniuvalu Fotofili, Zac Ogg, Levi Alexander, Sam Lock, Marc Hocken, Riley Gardner, Beau Zonneveld, Wolfe Bayvel, Emlyn Bridges, Luca Paoli, Maximilian Reynolds, Cooper Phillips, Magnus Ross, Nicholas Fail, Philip Petrovski, Blake Davies, Flynn Rowlands, Arlo Ofsoski-Hansen, Hudson Morgan, Zeke Barsanti, Hamish Browne, Dylan Gundersen, Jeremy Szczebiot, Theo Jones, Marcus Coatsworth"
45 (S),11:12,13,B U15 8X+,heat,2,"Flynn Wansbrough, Quinn Tollen, Ronan Piso, Ihikera Thompson-Evans, Cullen Li, Frank Smith, Joshen Yao, Nathan Harrison, Cooper Swap, Ryan Jing Cheng Zhao, Will Bedford, Campbell McLellan, Shiran Li, Encheng Liu, Aiqi Lu, Toby Bedford, Dongcheng Liu, Martan Denton, Sam Feather, Miles Smith, Callum Dedding, Louis Stokes, Matthew Gilbert, Freddy Gordon, Rory Carson, Sam Priscott, James White, Conner Huitema, Harris Chaney, Daniel Checketts, Joshua Stapel, Jock Scott, Caleb Gerring, Fergus Gardner, Jack Nilsson, Harry Lorentsson, Sean Gooder, Freddie Hopkins, Jack Bezzant-Cleet, Cade Robson, Sean Byrne, Felix McDonald-Shaw, Sean Moore, Daniel Peterson, James Miller-Ibos"
46 (T),11:17,14,G U15 4+,heat,1,"Jade Taylor, Audrey Cao, Mary Dawson, Isla Dawson, Lauren van De Kuilen, Kulsum Tayyab, Ara Innis, Olivia Everett, Tannah Smart, Toby Miller, Clover MacDonald, Isla Anderson, Mary Sinclair, Stella Rayner, Katherine Phillips, Greta Keenan, Sophie Wiig, Camille Cooper, Alexis Tzeng, Abigail Lendrum, Mirabelle Thomson, Keeley Bruford, Sascha Stanish, Amelia Gimblett, Chloe Kerr, Erin Duffy, Claudia Worth, Chloe Kendrick-Jones, Jasmine Hermansson, Lilly-Marie Nieuwoudt, Freya Rodger, Emilia Sobell, Lucy Santure, Breana Mackay-Lawn, Lucy Bell, Malohi Isileli-Fo'ou, Laura Bunyan, Kortney Delamore, Nadiah Eseese, Tara Gordon"
47 (U),11:22,14,G U15 4+,heat,2,"Ailsa McGrath, Jessica Brown, Joelle Bebawy, Olivia von Dadelszen, Meg Marshall, Freida Hoban, Jade Hood, Indi Ross, Ellie Tucker, Maddie Corles, Emily Robertson, Jemma Burke, Olivia Burke, Emilia Hickey, Katie McKean, Annabelle Pickles, Chance Flux Ton, Emili Perich, Lucja Gascoigne-Spittle, Makayla Sadler, Dylan Catchpole, Annabel Dobson, Marnie Currie, Mila Turnbull, Jessica Allen, Vivian Morton, Mila Day, Maddy Palliser, Lia Moeung, Koko Jackson"
48 (V),11:27,14,G U15 4+,heat,3,"Jemima Wright, Amber O'Neill, Katie Ye, Isabella Snell, Zoe Fry, Sofia Olsen, Ellie Burke, Annabel Thomson, Madeline Roberts, Olivia Sexton-Leko, Florence Meachen, Ruby Burnnand, Phoebe Carlsen, Pippa Willoughby, Sarah Williams, Stella O'Sullivan, Isla Thompson, Lucca Taylor, Emma Smith, Bailey Wong, Zoe Wilkins, Eloise Hood, Kiana Eades, Leilani Tatt, Lyla Carrancho, Maggie Elmiger, Lauren Lamb, Octavia Burns, Grace Wright, Charlotte Murray, Olive Jones, Olive Moser, Georgia James, Hana Harvie, Stella Payne"
49 (W),11:31,15,B U18 4X+,heat,1,"Jordan Hallett, Quin Vivian, Achilles Paikea, Ross Llaneta, Lily Newton, Ethan Goodwin, Finn Judd, Otis Irvine, Donacha Aitcheson, Corbin Luke, Roman Andrews, Xavier Roshan, Lachlan Dwyer, Henry Johnston, Ryan Slater, George Wells, James Olds, Charlie Price, Harry Sherrit, Angus McConnell, Will Iversen, Oliver Poppelwell, Oscar Innes, Henry Mahon, Freddy Abeysekera, Paul Wilson, Danny Robert, Shiloh Ngapo-Sage, Tommy van Jaarsveld, Benjamin Cattle"
50 (X),11:35,15,B U18 4X+,heat,2,"Reuben Andrews, Kaine Goonan, Sam Harford, Hamish Mora, Benjamin Butel, William McKellar, Zavier Linstrom, Harry Blundell, Harry Davies, Rex Zhao, Jakob Kampenhout, Mattias Everett, Jack Calcinai, Angus Denize, Jade Noonan, Tyler Tretheway, Max Clausen, Lachlan Murphy, Gus Weir, Hugh Trower, Hunter Whitten, Tim Reeves, Anthony Jacobsen, James Neilson, Johnny Gilmore, Cole Brownlee, Henco Mellett, William Bowmar, Hunter Coleman, Cole Rothery, Hamish Brown, Sam Stewart, Harrison White, Lewis Parker, Pippa Percy"
51 (Y),11:39,15,B U18 4X+,heat,3,"Ashton Bell, Angus Lovell, Jack Litherland, Ashton Clark, Bruno Follett, Elvern Wong, Leo O'Reilly, Marcus Tadema, Max Fielder, Olive Mills, Josh Cashin, Ted Kingsford, Gabriel Bonnington, Lachie Peters, Charlie Seath, Connor Johnson, Dylan van Mil, Blake Leach, Cameron Churchill, Miller Stratford, Will Kale, Jesse Kingsnorth, Josh Ede, Corin Brown, Jamie Locke, Ashton McComish, Will Leyland, Zack Henton, Lucas Powell, Hugo Hurdley, Oscar Akel, Guy Smith, Jasper Hunter, Zachary Chu, Yen-Cheng Lee"
52 (Z),11:43,15,B U18 4X+,heat,4,"Jason Lee, Joseph Dillon, Thomas Goodfellow, Denny Janif-Skelton, Benji Peters, Harrisen Eustace, Jack Hannah, Liam Kaye, Oscar Verry, Lincoln Johnson, John An, Charlie Tallon, Oliver Service, Edouard de Cannart, Beatrix Day, Peter Browne, Rory McKenzie, Tyler Nelson, James Muir, Oscar Mckenzie, Alexander Dinkel, Hunter Clapham, Carlos Bramwell, Shaun Diver, Max Hindmarsh, Isaac Glennie, Angus Bumby, Miles Beaglehole, Ben Cook, Rhys Griffiths"
